date;base_currency;conversion_currency;value
2016/01/04;SGD;USD;0.70091
2016/01/05;SGD;USD;0.70014
2016/01/06;SGD;USD;0.69639
2016/01/07;SGD;USD;0.69889
2016/01/08;SGD;USD;0.6938
2016/01/11;SGD;USD;0.69672
2016/01/12;SGD;USD;0.69526
2016/01/13;SGD;USD;0.69736
2016/01/14;SGD;USD;0.69568
2016/01/15;SGD;USD;0.69425
2016/01/18;SGD;USD;0.69491
2016/01/19;SGD;USD;0.69622
2016/01/20;SGD;USD;0.69491
2016/01/21;SGD;USD;0.6969
2016/01/22;SGD;USD;0.70031
2016/01/25;SGD;USD;0.70019
2016/01/26;SGD;USD;0.70125
2016/01/27;SGD;USD;0.70006
2016/01/28;SGD;USD;0.70056
2016/01/29;SGD;USD;0.7022
2016/02/01;SGD;USD;0.70227
2016/02/02;SGD;USD;0.70079
2016/02/03;SGD;USD;0.70316
2016/02/04;SGD;USD;0.7166
2016/02/05;SGD;USD;0.71108
2016/02/08;SGD;USD;0.71274
2016/02/09;SGD;USD;0.71599
2016/02/10;SGD;USD;0.71707
2016/02/11;SGD;USD;0.72032
2016/02/12;SGD;USD;0.71608
2016/02/16;SGD;USD;0.7114
2016/02/17;SGD;USD;0.71148
2016/02/18;SGD;USD;0.71197
2016/02/19;SGD;USD;0.71133
2016/02/22;SGD;USD;0.71443
2016/02/23;SGD;USD;0.70998
2016/02/24;SGD;USD;0.71096
2016/02/25;SGD;USD;0.71285
2016/02/26;SGD;USD;0.71034
2016/02/29;SGD;USD;0.71138
2016/03/01;SGD;USD;0.71351
2016/03/02;SGD;USD;0.71429
2016/03/03;SGD;USD;0.71947
2016/03/04;SGD;USD;0.72738
2016/03/07;SGD;USD;0.72521
2016/03/08;SGD;USD;0.72276
2016/03/09;SGD;USD;0.72522
2016/03/10;SGD;USD;0.72355
2016/03/11;SGD;USD;0.72917
2016/03/14;SGD;USD;0.72639
2016/03/15;SGD;USD;0.72415
2016/03/16;SGD;USD;0.7228
2016/03/17;SGD;USD;0.74037
2016/03/18;SGD;USD;0.73687
2016/03/21;SGD;USD;0.73617
2016/03/22;SGD;USD;0.73458
2016/03/23;SGD;USD;0.73188
2016/03/24;SGD;USD;0.72952
2016/03/28;SGD;USD;0.7302
2016/03/29;SGD;USD;0.73331
2016/03/30;SGD;USD;0.73986
2016/03/31;SGD;USD;0.74266
2016/04/01;SGD;USD;0.74147
2016/04/04;SGD;USD;0.7398
2016/04/05;SGD;USD;0.73698
2016/04/06;SGD;USD;0.74275
2016/04/07;SGD;USD;0.73973
2016/04/08;SGD;USD;0.74198
2016/04/11;SGD;USD;0.74351
2016/04/12;SGD;USD;0.7435
2016/04/13;SGD;USD;0.7396
2016/04/14;SGD;USD;0.73364
2016/04/15;SGD;USD;0.73721
2016/04/18;SGD;USD;0.73929
2016/04/19;SGD;USD;0.74795
2016/04/20;SGD;USD;0.74467
2016/04/21;SGD;USD;0.74123
2016/04/22;SGD;USD;0.73884
2016/04/25;SGD;USD;0.73959
2016/04/26;SGD;USD;0.73981
2016/04/27;SGD;USD;0.74033
2016/04/28;SGD;USD;0.74227
2016/04/29;SGD;USD;0.74317
2016/05/02;SGD;USD;0.7449
2016/05/03;SGD;USD;0.73987
2016/05/04;SGD;USD;0.73603
2016/05/05;SGD;USD;0.73586
2016/05/06;SGD;USD;0.7357
2016/05/09;SGD;USD;0.73049
2016/05/10;SGD;USD;0.73022
2016/05/11;SGD;USD;0.73232
2016/05/12;SGD;USD;0.72849
2016/05/13;SGD;USD;0.72883
2016/05/16;SGD;USD;0.73066
2016/05/17;SGD;USD;0.73108
2016/05/18;SGD;USD;0.72648
2016/05/19;SGD;USD;0.72423
2016/05/20;SGD;USD;0.72328
2016/05/24;SGD;USD;0.72366
2016/05/25;SGD;USD;0.72491
2016/05/26;SGD;USD;0.72799
2016/05/27;SGD;USD;0.72729
2016/05/30;SGD;USD;0.72391
2016/05/31;SGD;USD;0.72572
2016/06/01;SGD;USD;0.72569
2016/06/02;SGD;USD;0.7273
2016/06/03;SGD;USD;0.73571
2016/06/06;SGD;USD;0.73654
2016/06/07;SGD;USD;0.73939
2016/06/08;SGD;USD;0.74258
2016/06/09;SGD;USD;0.7393
2016/06/10;SGD;USD;0.73689
2016/06/13;SGD;USD;0.73796
2016/06/14;SGD;USD;0.73791
2016/06/15;SGD;USD;0.73819
2016/06/16;SGD;USD;0.73875
2016/06/17;SGD;USD;0.74049
2016/06/20;SGD;USD;0.74459
2016/06/21;SGD;USD;0.74512
2016/06/22;SGD;USD;0.74641
2016/06/23;SGD;USD;0.74663
2016/06/24;SGD;USD;0.74135
2016/06/27;SGD;USD;0.73391
2016/06/28;SGD;USD;0.73743
2016/06/29;SGD;USD;0.74213
2016/06/30;SGD;USD;0.74141
2016/07/04;SGD;USD;0.74369
2016/07/05;SGD;USD;0.74013
2016/07/06;SGD;USD;0.74002
2016/07/07;SGD;USD;0.7413
2016/07/08;SGD;USD;0.74291
2016/07/11;SGD;USD;0.74031
2016/07/12;SGD;USD;0.74193
2016/07/13;SGD;USD;0.74269
2016/07/14;SGD;USD;0.74495
2016/07/15;SGD;USD;0.74181
2016/07/18;SGD;USD;0.74168
2016/07/19;SGD;USD;0.73882
2016/07/20;SGD;USD;0.73635
2016/07/21;SGD;USD;0.73738
2016/07/22;SGD;USD;0.73592
2016/07/25;SGD;USD;0.73406
2016/07/26;SGD;USD;0.73571
2016/07/27;SGD;USD;0.73608
2016/07/28;SGD;USD;0.73925
2016/07/29;SGD;USD;0.74457
2016/08/02;SGD;USD;0.74712
2016/08/03;SGD;USD;0.74488
2016/08/04;SGD;USD;0.74518
2016/08/05;SGD;USD;0.74226
2016/08/08;SGD;USD;0.74255
2016/08/09;SGD;USD;0.74414
2016/08/10;SGD;USD;0.74617
2016/08/11;SGD;USD;0.7446
2016/08/12;SGD;USD;0.74299
2016/08/15;SGD;USD;0.74485
2016/08/16;SGD;USD;0.74678
2016/08/17;SGD;USD;0.74311
2016/08/18;SGD;USD;0.74622
2016/08/19;SGD;USD;0.74235
2016/08/22;SGD;USD;0.74038
2016/08/23;SGD;USD;0.74004
2016/08/24;SGD;USD;0.73779
2016/08/25;SGD;USD;0.73858
2016/08/26;SGD;USD;0.73801
2016/08/29;SGD;USD;0.73524
2016/08/30;SGD;USD;0.73317
2016/08/31;SGD;USD;0.73369
2016/09/01;SGD;USD;0.73571
2016/09/02;SGD;USD;0.73552
2016/09/06;SGD;USD;0.74204
2016/09/07;SGD;USD;0.74253
2016/09/08;SGD;USD;0.74111
2016/09/09;SGD;USD;0.73567
2016/09/12;SGD;USD;0.73564
2016/09/13;SGD;USD;0.73198
2016/09/14;SGD;USD;0.73365
2016/09/15;SGD;USD;0.73376
2016/09/16;SGD;USD;0.73087
2016/09/19;SGD;USD;0.735
2016/09/20;SGD;USD;0.73405
2016/09/21;SGD;USD;0.73646
2016/09/22;SGD;USD;0.73763
2016/09/23;SGD;USD;0.73559
2016/09/26;SGD;USD;0.73555
2016/09/27;SGD;USD;0.73475
2016/09/28;SGD;USD;0.73433
2016/09/29;SGD;USD;0.73406
2016/09/30;SGD;USD;0.73355
2016/10/03;SGD;USD;0.73205
2016/10/04;SGD;USD;0.72977
2016/10/05;SGD;USD;0.72985
2016/10/06;SGD;USD;0.72846
2016/10/07;SGD;USD;0.72692
2016/10/11;SGD;USD;0.72543
2016/10/12;SGD;USD;0.7217
2016/10/13;SGD;USD;0.72252
2016/10/14;SGD;USD;0.71925
2016/10/17;SGD;USD;0.71974
2016/10/18;SGD;USD;0.72199
2016/10/19;SGD;USD;0.72106
2016/10/20;SGD;USD;0.71874
2016/10/21;SGD;USD;0.71653
2016/10/24;SGD;USD;0.71736
2016/10/25;SGD;USD;0.71914
2016/10/26;SGD;USD;0.71946
2016/10/27;SGD;USD;0.71664
2016/10/28;SGD;USD;0.71737
2016/10/31;SGD;USD;0.71857
2016/11/01;SGD;USD;0.72008
2016/11/02;SGD;USD;0.72315
2016/11/03;SGD;USD;0.72232
2016/11/04;SGD;USD;0.72286
2016/11/07;SGD;USD;0.71927
2016/11/08;SGD;USD;0.71988
2016/11/09;SGD;USD;0.71666
2016/11/10;SGD;USD;0.70968
2016/11/14;SGD;USD;0.70542
2016/11/15;SGD;USD;0.70642
2016/11/16;SGD;USD;0.70677
2016/11/17;SGD;USD;0.70527
2016/11/18;SGD;USD;0.70146
2016/11/21;SGD;USD;0.70105
2016/11/22;SGD;USD;0.70187
2016/11/23;SGD;USD;0.698
2016/11/24;SGD;USD;0.6983
2016/11/25;SGD;USD;0.69986
2016/11/28;SGD;USD;0.70114
2016/11/29;SGD;USD;0.70086
2016/11/30;SGD;USD;0.69738
2016/12/01;SGD;USD;0.7007
2016/12/02;SGD;USD;0.70386
2016/12/05;SGD;USD;0.7026
2016/12/06;SGD;USD;0.70439
2016/12/07;SGD;USD;0.7051
2016/12/08;SGD;USD;0.70222
2016/12/09;SGD;USD;0.69865
2016/12/12;SGD;USD;0.70129
2016/12/13;SGD;USD;0.70229
2016/12/14;SGD;USD;0.70281
2016/12/15;SGD;USD;0.69068
2016/12/16;SGD;USD;0.69201
2016/12/19;SGD;USD;0.69157
2016/12/20;SGD;USD;0.69233
2016/12/21;SGD;USD;0.69264
2016/12/22;SGD;USD;0.6906
2016/12/23;SGD;USD;0.6911
2016/12/28;SGD;USD;0.68855
2016/12/29;SGD;USD;0.69039
2016/12/30;SGD;USD;0.69122
2017/01/03;SGD;USD;0.68969
2017/01/04;SGD;USD;0.69398
2017/01/05;SGD;USD;0.69953
2017/01/06;SGD;USD;0.6956
2017/01/09;SGD;USD;0.69694
2017/01/10;SGD;USD;0.69692
2017/01/11;SGD;USD;0.69619
2017/01/12;SGD;USD;0.70312
2017/01/13;SGD;USD;0.69859
2017/01/16;SGD;USD;0.69954
2017/01/17;SGD;USD;0.70552
2017/01/18;SGD;USD;0.70244
2017/01/19;SGD;USD;0.69975
2017/01/20;SGD;USD;0.70088
2017/01/23;SGD;USD;0.70479
2017/01/24;SGD;USD;0.70521
2017/01/25;SGD;USD;0.70577
2017/01/26;SGD;USD;0.70162
2017/01/27;SGD;USD;0.70011
2017/01/30;SGD;USD;0.70312
2017/01/31;SGD;USD;0.70928
2017/02/01;SGD;USD;0.70662
2017/02/02;SGD;USD;0.70988
2017/02/03;SGD;USD;0.71063
2017/02/06;SGD;USD;0.7084
2017/02/07;SGD;USD;0.70601
2017/02/08;SGD;USD;0.70685
